+-------+-----+-----+-----+-----+-----+--------+-----------------------------------------------+-------+--------+---------+--------+--------+--------+--------+--------+-----------+-----------+------------+-----------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                      URI                      |  MIN  |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY) | SUM(BODY)  | AVG(BODY) |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/player/player/9fa52a89                   | 6.024 | 6.024  | 6.024   | 6.024  | 6.024  | 6.024  | 6.024  | 0.000  | 583.000   | 583.000   | 583.000    | 583.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/player/player/9fa528cf                   | 5.928 | 5.928  | 5.928   | 5.928  | 5.928  | 5.928  | 5.928  | 0.000  | 783.000   | 783.000   | 783.000    | 783.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/player/player/9fa529ea                   | 5.876 | 5.876  | 5.876   | 5.876  | 5.876  | 5.876  | 5.876  | 0.000  | 474.000   | 474.000   | 474.000    | 474.000   |
| 3     | 0   | 3   | 0   | 0   | 0   | POST   | /api/organizer/competition/9fa52408/score     | 1.584 | 2.284  | 5.872   | 1.957  | 2.284  | 2.284  | 2.284  | 0.288  | 54.000    | 54.000    | 162.000    | 54.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/player/player/9fa528dd                   | 5.784 | 5.784  | 5.784   | 5.784  | 5.784  | 5.784  | 5.784  | 0.000  | 784.000   | 784.000   | 784.000    | 784.000   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /api/player/player/9fa529cf                   | 0.040 | 5.712  | 5.752   | 2.876  | 5.712  | 5.712  | 5.712  | 2.836  | 687.000   | 800.000   | 1487.000   | 743.500   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/player/player/9fa52816                   | 5.752 | 5.752  | 5.752   | 5.752  | 5.752  | 5.752  | 5.752  | 0.000  | 459.000   | 459.000   | 459.000    | 459.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/organizer/competition/9fa52aaa/score     | 5.744 | 5.744  | 5.744   | 5.744  | 5.744  | 5.744  | 5.744  | 0.000  | 54.000    | 54.000    | 54.000     | 54.000    |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /api/player/player/9fa52a10                   | 0.040 | 5.680  | 5.720   | 2.860  | 5.680  | 5.680  | 5.680  | 2.820  | 584.000   | 800.000   | 1384.000   | 692.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/player/player/9fa528c2                   | 5.696 | 5.696  | 5.696   | 5.696  | 5.696  | 5.696  | 5.696  | 0.000  | 672.000   | 672.000   | 672.000    | 672.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/player/player/9fa529b9                   | 5.540 | 5.540  | 5.540   | 5.540  | 5.540  | 5.540  | 5.540  | 0.000  | 475.000   | 475.000   | 475.000    | 475.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/player/player/9fa52958                   | 5.484 | 5.484  | 5.484   | 5.484  | 5.484  | 5.484  | 5.484  | 0.000  | 801.000   | 801.000   | 801.000    | 801.000   |
| 2     | 0   | 2   | 0   | 0   | 0   | POST   | /api/organizer/competition/9fa53958/score     | 2.488 | 2.844  | 5.332   | 2.666  | 2.844  | 2.844  | 2.844  | 0.178  | 54.000    | 54.000    | 108.000    | 54.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/player/player/9fa52a65                   | 5.264 | 5.264  | 5.264   | 5.264  | 5.264  | 5.264  | 5.264  | 0.000  | 475.000   | 475.000   | 475.000    | 475.000   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /api/player/player/9fa53060                   | 1.748 | 3.412  | 5.160   | 2.580  | 3.412  | 3.412  | 3.412  | 0.832  | 297.000   | 297.000   | 594.000    | 297.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/player/player/9fa527a6                   | 5.072 | 5.072  | 5.072   | 5.072  | 5.072  | 5.072  | 5.072  | 0.000  | 364.000   | 364.000   | 364.000    | 364.000   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /api/player/player/d73dc6d6                   | 2.328 | 2.576  | 4.904   | 2.452  | 2.576  | 2.576  | 2.576  | 0.124  | 2317.000  | 2317.000  | 4634.000   | 2317.000  |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /api/player/player/4d86e5ad6                  | 1.852 | 3.020  | 4.872   | 2.436  | 3.020  | 3.020  | 3.020  | 0.584  | 1899.000  | 1899.000  | 3798.000   | 1899.000  |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /api/player/player/34bfbb916                  | 1.968 | 2.900  | 4.868   | 2.434  | 2.900  | 2.900  | 2.900  | 0.466  | 2130.000  | 2130.000  | 4260.000   | 2130.000  |
| 2     | 0   | 0   | 0   | 2   | 0   | GET    | /api/player/player/9fa528be                   | 2.200 | 2.392  | 4.592   | 2.296  | 2.392  | 2.392  | 2.392  | 0.096  | 0.000     | 0.000     | 0.000      | 0.000     |
| 2     | 0   | 2   | 0   | 0   | 0   | POST   | /api/organizer/competition/9fa53424/score     | 2.020 | 2.504  | 4.524   | 2.262  | 2.504  | 2.504  | 2.504  | 0.242  | 53.000    | 53.000    | 106.000    | 53.000    |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /api/player/player/29b75242f                  | 2.176 | 2.336  | 4.512   | 2.256  | 2.336  | 2.336  | 2.336  | 0.080  | 2227.000  | 2227.000  | 4454.000   | 2227.000  |
